"","Product_Name","Price","Brand","Date"
"1","PNY NVIDIA Quadro K2200 Graphics Cards VCQK2200-PB",409.99,"Nvidia Quadro",2017-04-05
"2","PNY Video Card Graphics Cards VCQK620-PB",148.97,"Nvidia Quadro",2017-04-05
"3","PNY Video Graphics Cards VCQM4000-PB",789.15,"Nvidia Quadro",2017-04-05
"4","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 Multi-Display Professional Graphics Board, VCNVS310DP-PB",81.99,"Nvidia Quadro",2017-04-05
"5","NVIDIA Graphics Card 4X60G69026",899.99,"Nvidia Quadro",2017-04-05
"6","Genuine NVIDIA Quadro 600 PCI-E VIDEO CARD Desktop 1GB NVA-P1033-000",65.99,"Nvidia Quadro",2017-04-05
"7","PNY NVIDIA Quadro M6000 12GB GDDR5 PCIe 3.0 GPU (VCQM6000-PB)",3399.99,"Nvidia Quadro",2017-04-05
"8","PNY NVIDIA VCQ410-PB Quadro 410 512MB Low Profile PCIe GPU Video Card",148.13,"Nvidia Quadro",2017-04-05
"9","PNY NVIDIA Quadro NVS 315 1GB DDR3 DMS-59 Low Profile PCI-Express Video Card (VCNVS315DVI-PB)",68.97,"Nvidia Quadro",2017-04-05
"10","PNY Video Graphic Cards VCQM2000-PB",421.45,"Nvidia Quadro",2017-04-05
"11","PNY NVIDIA Quadro NVS 510 2GB GDDR3 4-Mini DisplayPort Low Profile PCI-Express Video Card VCNVS510DVI-PB",361.42,"Nvidia Quadro",2017-04-05
"12","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 and DVI-D SL Mllti-Display Professional Graphics Board, VCNVS310DVI-PB",91.03,"Nvidia Quadro",2017-04-05
"13","NVIDIA Graphics Card J3G90AT",899.99,"Nvidia Quadro",2017-04-05
"14","NVIDIA Quadro K5000 4GB GDDR5 Graphics card (PNY Part #: VCQK5000-PB)",1670.44,"Nvidia Quadro",2017-04-05
"15","NVIDIA Quadro FX 580 by PNY 512MB GDDR3 PCI Express Gen 2 x16 DVI-I DL and Dual DisplayPort OpenGL, DirectX, CUDA and OpenCL Profesional Graphics Board, VCQFX580-PCIE-PB",NA,"Nvidia Quadro",2017-04-05
"16","PNY PCI-Express Video Card VCNVS310DP-1GB-PB",90.63,"Nvidia Quadro",2017-04-05
"17","PNY PCI-Express Video Card Graphics Cards VCQK420-2GB-PB",112.74,"Nvidia Quadro",2017-04-05
"18","PNY NVIDIA Quadro K1200 - ( VCQK1200DP-PB)",317.66,"Nvidia Quadro",2017-04-05
"19","HP 713380-001 NVIDIA Quadro K2000 2GB GDDR5 PCI-e graphics card",159.2,"Nvidia Quadro",2017-04-05
"20","PNY Video Card VCQM6000-24GB-PB Quadro M6000 24GB GDDR5 PCIE3.0 DPx4/DVI-I DL",4529,"Nvidia Quadro",2017-04-05
"21","HP NVIDIA Graphics Card Low Profile J3G87AT",162.5,"Nvidia Quadro",2017-04-05
"22","SMART BUY KD506UT Nvidia Quadro Fx3700 512 MB Card Graphics Card",85,"Nvidia Quadro",2017-04-05
"23","NVIDIA Graphics Card C2J93AT",443.14,"Nvidia Quadro",2017-04-05
"24","Nvidia Quadro K5200 8GB 256-bit PCIe x16 Computer Video Card GPU Dell R93GX",NA,"Nvidia Quadro",2017-04-05
"25","PNY PCI-Express Video Card VCNVS310DVI-1GB-PB",103.75,"Nvidia Quadro",2017-04-05
"27","BOSCH SECURITY VIDEO MHW-AWGC-Q4000 Quadro 4000 Graphic Card, 2 Gb",1744.74,"Nvidia Quadro",2017-04-05
"28","Nvidia P162 Video Card Quadro Fx500 128Mb",40,"Nvidia Quadro",2017-04-05
"29","Nvs 300 Pcie 512MB X16 Graphics Card",152.8,"Nvidia Quadro",2017-04-05
"30","HP J3G88AT Commercial Specialty Quadro K2200 4GB Graphics Cards",492.12,"Nvidia Quadro",2017-04-05
"31","HP Quadro FX1400 128MB PCIe 376006-002 Card 395817-001",187.84,"Nvidia Quadro",2017-04-05
"32","PNY NVIDIA Quadro 5000 VCQ5000-PB, 2.50 GB GDDR5 PCI Express Gen 2 x16 DVI-I DL Dual DisplayPort and Stereo OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board",1636.87,"Nvidia Quadro",2017-04-05
"33","NVIDIA QUADRO FX5800 PNY NVIDIA Quadro 5800 VCQFX5800-PCIE Graphics Card DVI PCI Expr",299.98,"Nvidia Quadro",2017-04-05
"34","NVIDIA Graphics Card E5Z76AT",719.53,"Nvidia Quadro",2017-04-05
"35","HP NVIDIA NVS 510 2GB GFX Card (C2J98AT)",186,"Nvidia Quadro",2017-04-05
"36","Power Mac G5 Nvidia 512mb Quadro Fx 4500 (Pci Express) Video Card",119.49,"Nvidia Quadro",2017-04-05
"37","Nvidia Quadro FX3450",135.75,"Nvidia Quadro",2017-04-05
