"","Product_Name","Price","Brand","Date"
"1","PNY Video Graphic Cards VCQM2000-PB","391.24","Nvidia Quadro",2017-04-11
"2","PNY NVIDIA Quadro M6000 12GB GDDR5 PCIe 3.0 GPU (VCQM6000-PB)","3399.99","Nvidia Quadro",2017-04-11
"3","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 Multi-Display Professional Graphics Board, VCNVS310DP-PB","34.00","Nvidia Quadro",2017-04-11
"4","PNY Video Card Graphics Cards VCQK620-PB","147.49","Nvidia Quadro",2017-04-11
"5","Genuine NVIDIA Quadro 600 PCI-E VIDEO CARD Desktop 1GB NVA-P1033-000","65.99","Nvidia Quadro",2017-04-11
"6","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 and DVI-D SL Mllti-Display Professional Graphics Board, VCNVS310DVI-PB","91.03","Nvidia Quadro",2017-04-11
"7","PNY NVIDIA VCQ410-PB Quadro 410 512MB Low Profile PCIe GPU Video Card","148.13","Nvidia Quadro",2017-04-11
"8","PNY NVIDIA Quadro NVS 510 2GB GDDR3 4-Mini DisplayPort Low Profile PCI-Express Video Card VCNVS510DVI-PB","361.42","Nvidia Quadro",2017-04-11
"9","NVIDIA Graphics Card J3G90AT","899.99","Nvidia Quadro",2017-04-11
"10","Nvidia Quadro K5200 8GB 256-bit PCIe x16 Computer Video Card GPU Dell R93GX",NA,"Nvidia Quadro",2017-04-11
"11","HP 701980-001 NVIDIA Quadro K5000 4GB GDDR5 PCI-e graphics card - With 1 Dual Link DVI-D, 1 Dual Link DVI-I, and 2 DisplayPort 1.2 ports","725.00","Nvidia Quadro",2017-04-11
"12","NVIDIA Graphics Card 4X60G69026","899.99","Nvidia Quadro",2017-04-11
"13","PNY NVIDIA Quadro 5000 VCQ5000-PB, 2.50 GB GDDR5 PCI Express Gen 2 x16 DVI-I DL Dual DisplayPort and Stereo OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board","1635.64","Nvidia Quadro",2017-04-11
"14","PNY NVIDIA Quadro K2200 Graphics Cards VCQK2200-PB","402.02","Nvidia Quadro",2017-04-11
"15","PNY Video Graphics Cards VCQM4000-PB","789.15","Nvidia Quadro",2017-04-11
"16","PNY PCI-Express Video Card Graphics Cards VCQK420-2GB-PB","112.74","Nvidia Quadro",2017-04-11
"17","NVIDIA Quadro FX 580 by PNY 512MB GDDR3 PCI Express Gen 2 x16 DVI-I DL and Dual DisplayPort OpenGL, DirectX, CUDA and OpenCL Profesional Graphics Board, VCQFX580-PCIE-PB",NA,"Nvidia Quadro",2017-04-11
"18","HP 713380-001 NVIDIA Quadro K2000 2GB GDDR5 PCI-e graphics card","159.20","Nvidia Quadro",2017-04-11
"19","PNY NVIDIA Quadro NVS 315 1GB DDR3 DMS-59 Low Profile PCI-Express Video Card (VCNVS315DVI-PB)","68.97","Nvidia Quadro",2017-04-11
"20","PNY PCI-Express Video Card VCNVS310DP-1GB-PB","90.54","Nvidia Quadro",2017-04-11
"21","PNY NVIDIA Quadro K1200 - ( VCQK1200DP-PB)","314.49","Nvidia Quadro",2017-04-11
"22","HP NVIDIA Graphics Card Low Profile J3G87AT","162.50","Nvidia Quadro",2017-04-11
