"","name","price","Sys.time..","shortnames"
"1","HP 616078-001 NVIDIA Quadro 6000 PCIe graphics card - With 6.0GB GDDR5 GPU memory, max resolution 2560x1600, max power consumption 204Watt, one Dual Link DVI-I and two DisplayPorts connections",750,2017-03-03 10:18:53,"18"
"2","HP 616079-001 PCIe 2.0 x16 NVIDIA Tesla C2050 graphics processing unit (GPU) full-height board",799,2017-03-03 10:18:43,"12"
"3","HP 671138-001 NVIDIA Quadro 5000 PCIe graphics card - With 2.5GB GDDR5 GPU memory, max resolution 2560x1600, one Dual Link DVI-I and two DisplayPorts",298.95,2017-03-03 10:18:57,"20"
"4","HP Tesla K20X Graphic Card - 1 GPUs - 6 GB GDDR5 SDRAM - PCI Express 2.0 x16 C7S15A",1095,2017-03-03 10:18:26,"2"
"5","NVIDIA GeForce Titan X Pascal 12GB GDDR5X (900-1G611-2500-000)",1499.99,2017-03-03 10:18:35,"7"
"6","NVIDIA Graphics Card E5Z76AT",361.06,2017-03-03 10:18:51,"17"
"7","Nvidia GRID K340 4GB GDDR5 PCIe gen3 x16 Cloud Gaming Kepler GPU Graphics 900-12400-0010-000",1329.99,2017-03-03 10:18:45,"13"
"8","Nvidia GRID K520 8GB GDDR5 PCIe gen3 x16 Cloud Gaming Kepler GPU Graphics 900-12055-0020-000",1085,2017-03-03 10:18:46,"14"
"9","NVIDIA GRID M40 GPU 16GB GDDR5 ACCELERATOR PROCESSING CARD 900-52405-0000-000",1795,2017-03-03 10:18:24,"1"
"10","NVIDIA M1060 nVidia Tesla M1060 Passive Cooling 4GB PCI-E x16 GPU Computing G IBM 43V5909 Nvidia Tesla M1060 4Gb PCI-Express x16 Video Graphic Card",210,2017-03-03 10:18:40,"10"
"11","Nvidia Quadro K3000M 2GB GDDR5 MXM 3.0 Mobile GPU Laptop Video Card N14E-Q1-A2",289,2017-03-03 10:18:49,"16"
"12","Nvidia Tesla K10 8GB GDDR5 Kepler GPU Graphics 900-22055-0120-010 Dell 2YP0C",1795,2017-03-03 10:18:31,"5"
"13","nVidia Tesla K10 8GB GDDR5 with two GK104 Kelper GPU HP P/N B3M66A, 688982-001",1649,2017-03-03 10:18:42,"11"
"14","NVIDIA Tesla K40 Graphic Card - 1 GPUs - 745 MHz Core - 12 GB GDDR5 SDRAM 900-22081-2250-000",3319,2017-03-03 10:18:39,"9"
"15","Nvidia Tesla M1060 Graphics Processing Unit GPU 4GB CPU Processor OEM NEW",34.95,2017-03-03 10:18:37,"8"
"16","nVidia Tesla M2090 6 GB GPu PCI-e x16 HP 653974-001",175,2017-03-03 10:18:29,"4"
"17","Nvidia Tesla M2090 Gpu Card",195,2017-03-03 10:18:34,"6"
"18","Nvidia TESLA M40 GPU 12GB GDDR5 Accelerator Processing Card 900-2G600-0000-000",3999,2017-03-03 10:18:48,"15"
"19","nVidia Tesla S870 GPU External Computing Video Server With 4 GPU's 6GB Memory",750,2017-03-03 10:18:27,"3"
"20","PNY TECHNOLOGIES 512MB GDDR3 256MB/GPU DisplayPort Graphics Adapter NVIDIA Quadro NVS 450",161.89,2017-03-03 10:18:55,"19"
