"","Country","Hotels","Date","Continent"
"1","Albania",1757,2017-03-28,"Europe"
"2","Albania",1749,2017-03-24,"Europe"
"3","Albania",1782,2017-04-13,"Europe"
"4","Albania",1804,2017-04-21,"Europe"
"5","Albania",1741,2017-03-21,"Europe"
"6","Albania",1749,2017-03-25,"Europe"
"7","Albania",1796,2017-04-17,"Europe"
"8","Albania",1816,2017-04-25,"Europe"
"9","Albania",1767,2017-03-31,"Europe"
"10","Albania",1739,2017-03-20,"Europe"
"11","Albania",1761,2017-04-04,"Europe"
"12","Albania",1796,2017-04-18,"Europe"
"13","Albania",1791,2017-04-15,"Europe"
"14","Albania",1817,2017-04-24,"Europe"
"15","Albania",1763,2017-03-29,"Europe"
"16","Albania",1741,2017-03-23,"Europe"
"17","Albania",1784,2017-04-14,"Europe"
"18","Albania",1741,2017-03-22,"Europe"
"19","Albania",1802,2017-04-19,"Europe"
"20","Albania",1806,2017-04-20,"Europe"
"21","Albania",1762,2017-04-03,"Europe"
"22","Albania",1769,2017-04-07,"Europe"
"23","Albania",1782,2017-04-12,"Europe"
"24","Albania",1767,2017-04-01,"Europe"
"25","Albania",1772,2017-04-10,"Europe"
"26","Albania",1767,2017-04-05,"Europe"
"27","Albania",1769,2017-04-06,"Europe"
"28","Albania",1756,2017-03-27,"Europe"
"29","Albania",1765,2017-03-30,"Europe"
"30","Albania",1775,2017-04-11,"Europe"
"31","Algeria",70,2017-04-19,"Africa"
"32","Algeria",69,2017-04-17,"Africa"
"33","Algeria",62,2017-03-27,"Africa"
"34","Algeria",59,2017-03-21,"Africa"
"35","Algeria",67,2017-04-12,"Africa"
"36","Algeria",67,2017-04-05,"Africa"
"37","Algeria",69,2017-04-18,"Africa"
"38","Algeria",67,2017-04-07,"Africa"
"39","Algeria",74,2017-04-25,"Africa"
"40","Algeria",63,2017-03-30,"Africa"
"41","Algeria",59,2017-03-23,"Africa"
"42","Algeria",68,2017-04-14,"Africa"
"43","Algeria",67,2017-04-13,"Africa"
"44","Algeria",68,2017-04-15,"Africa"
"45","Algeria",74,2017-04-24,"Africa"
"46","Algeria",59,2017-03-22,"Africa"
"47","Algeria",73,2017-04-21,"Africa"
"48","Algeria",64,2017-03-31,"Africa"
"49","Algeria",67,2017-04-04,"Africa"
"50","Algeria",62,2017-03-24,"Africa"
"51","Algeria",63,2017-03-29,"Africa"
"52","Algeria",67,2017-04-10,"Africa"
"53","Algeria",60,2017-03-20,"Africa"
"54","Algeria",67,2017-04-06,"Africa"
"55","Algeria",64,2017-04-01,"Africa"
"56","Algeria",62,2017-03-28,"Africa"
"57","Algeria",73,2017-04-20,"Africa"
"58","Algeria",67,2017-04-11,"Africa"
"59","Algeria",67,2017-04-03,"Africa"
"60","Algeria",62,2017-03-25,"Africa"
"61","Andorra",488,2017-04-21,"Europe"
"62","Andorra",478,2017-03-23,"Europe"
"63","Andorra",485,2017-04-13,"Europe"
"64","Andorra",488,2017-04-19,"Europe"
"65","Andorra",483,2017-04-04,"Europe"
"66","Andorra",488,2017-04-24,"Europe"
