"","Country","Hotels","Date"
"1","Puerto Rico","558",2017-03-27
"2","Bermuda","33",2017-03-27
"3","Haiti","87",2017-03-27
"4","Iceland","1546",2017-03-27
"5","Saint Barts (St. Barts) hotels","147",2017-03-27
"6","Canada","11483",2017-03-27
"7","Turks & Caicos Islands (Turks, Ccs Is) hotels","100",2017-03-27
"8","Aruba","350",2017-03-27
"9","Guam","36",2017-03-27
"10","Cuba","76",2017-03-27
"11","Singapore","481",2017-03-27
"12","Barbados","392",2017-03-27
"13","Bahamas","225",2017-03-27
"14","Jamaica","867",2017-03-27
"15","United Kingdom (the UK) hotels","44941",2017-03-27
"16","Martinique","285",2017-03-27
"17","Mexico","11797",2017-03-27
"18","Costa Rica","3324",2017-03-27
"19","Ireland","4478",2017-03-27
"20","Panama","937",2017-03-27
"21","Maldives","585",2017-03-27
"22","Italy","136966",2017-03-27
"23","Saint Martin","299",2017-03-27
"24","Israel","3053",2017-03-27
"25","Guyana","26",2017-03-27
"26","India","26055",2017-03-27
"27","Cayman Islands","91",2017-03-27
"28","Guadeloupe","624",2017-03-27
"29","Germany","46264",2017-03-27
"30","U.S. Virgin Islands (US Virgin Is) hotels","207",2017-03-27
"31","Malta","1121",2017-03-27
"32","Denmark","23344",2017-03-27
"33","Saint Lucia","166",2017-03-27
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","142",2017-03-27
"35","New Zealand","5108",2017-03-27
"36","Dominican Republic (Dominican Rep) hotels","1612",2017-03-27
"37","Belize","468",2017-03-27
"38","Japan","11861",2017-03-27
"39","Monaco","29",2017-03-27
"40","Macau","67",2017-03-27
"41","South Korea","4773",2017-03-27
"42","Greenland","25",2017-03-27
"43","Curaçao","379",2017-03-27
"44","Philippines","3692",2017-03-27
"45","Ghana","766",2017-03-27
"46","Belgium","7256",2017-03-27
"47","Greece","26096",2017-03-27
"48","Finland","2665",2017-03-27
"49","Australia","16489",2017-03-27
"50","Turkey","14937",2017-03-27
"51","Fiji","211",2017-03-27
"52","Nigeria","861",2017-03-27
"53","France","73427",2017-03-27
"54","Peru","4657",2017-03-27
"55","Dominica","111",2017-03-27
"56","Austria","24296",2017-03-27
"57","Seychelles","456",2017-03-27
"58","Bahrain","158",2017-03-27
"59","Sweden","6978",2017-03-27
"60","Oman","313",2017-03-27
"61","Croatia","67996",2017-03-27
"62","Tanzania","1391",2017-03-27
"63","Colombia","7479",2017-03-27
"64","Solomon Islands (Solomon Is) hotels","22",2017-03-27
"65","Argentina","11319",2017-03-27
"66","St. Maarten","194",2017-03-27
"67","Luxembourg","320",2017-03-27
"68","Armenia","1307",2017-03-27
"69","Portugal","19983",2017-03-27
"70","Mauritius","1050",2017-03-27
"71","Malaysia","6167",2017-03-27
"72","Gambia","99",2017-03-27
